"","ntitle","ndate"
"1","“취준생 절반 이상, 코로나 시대 채용 ‘자소서 작성’ 부담감 커져!”","TODAY"
"2","직장인 10명중 7명, “코로나19로 인해 올해 임금동결”","2021.03.22"
"3","“사람인HR, ‘한국여성과학기술인지원센터 온라인 채용관’ 오픈!”","2021.03.18"
"4","“현대중공업그룹, CJ그룹 등 주요 대기업 신입사원 채용문 활짝!”","2021.03.17"
"5","“사람인x시현하다, 개성 담은 ‘이력서 사진 촬영’ 이벤트 진행!”","2021.03.16"
"6","“대기업, 올 상반기 신입보다 경력 더 뽑을 것”","2021.03.15"
"7","구직자 10명중 9명, “최근 3년간 공채 감소 체감한다""","2021.03.11"
"8","“금융계에도 IT 개발자 채용 바람 분다!”","2021.03.10"
"9","“IT·공공·디자인 직종, 코로나에도 선방”","2021.03.10"
"10","“취준생 절반 이상, 코로나 한파에 희망연봉 낮췄다!”","2021.03.08"
"11","사람인, IT 개발자 채용 플랫폼 ‘점핏(Jumpit)’ 론칭!","2021.03.05"
"12","수시채용 시대, 1등 스펙…봄날 단비 같은 ‘인턴’ 채용 소식","2021.03.05"
"13","“2020년 주당 평균 취업시간 39시간, 역대 최저치 기록!”","2021.03.05"
"14","“코로나 시대의 채용, 인재상도 변해!”","2021.03.05"
"15","“한국철도공사, SK하이닉스 등 주요 기업 신입 채용 시작!”","2021.02.25"
"16","”기업 5곳 중 3곳, ‘직무역량’ 평가 비중 더 커진다”","2021.02.25"
"17","“직장인 10명 중 7명, 지난해 이직 미뤘다”","2021.02.25"
"18","코로나19로 “구직자 46% 취업 목표 전환”… 업종 변경이 가장 많아","2021.02.22"
"19","“코로나로 빨라진 디지털 트랜스포메이션, 산업 전반 변혁”","2021.02.22"
"20","“사람인, 웹<U+2219>앱어워드 4관왕 기념 언택트 축하파티 이벤트 진행!”","2021.02.17"
"21","“중기 절반 이상, 주52시간제 준비 안돼”","2021.02.17"
"22","기업 51.3%, “작년보다 올해 경영 환경 더 어려울 것""","2021.02.17"
"23","“설 연휴 앞두고 주요 기업 신입, 경력 공채 이어져”","2021.02.10"
"24","“사람인 분석, 지난해 채용공고 전년대비 14% 줄어","2021.02.10"
"25","“기업 절반 이상, 정규직 줄여!”","2021.02.10"
"26","“사람인, 신축년 맞이 연봉 확인 이벤트 진행!”","2021.02.10"
"27","""매출 천억! 미래가치 높은 벤처기업의 채용이 시작된다!""","2021.02.04"
"28","“구직자 4명 중 1명, 지난해 채용 취소나 연기 경험 있어”","2021.02.03"
"29","직장인 절반 이상 “출퇴근거리 스트레스”… 업무에도 부정적인 영향","2021.02.02"
"30","“성인남녀 10명 중 7명, ‘연봉’ 보단 ‘워라밸!”","2021.02.01"
